,company name,location,datum,detail,status rocket,rocket,status mission,dates,times,country,launch_location,long,lat
3707,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1967-12-19 06:30:00+00:00,Cosmos-2I (63S1) | Cosmos 196,StatusRetired,450.0 ,Success,1967-12-19,06:30:00,Russia," Kapustin Yar, Russia",45.76617539999999,48.5752669
3708,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-12-16 12:00:00+00:00,Voskhod | Cosmos 195,StatusRetired,450.0 ,Success,1967-12-16,12:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3709,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1967-12-05 18:45:00+00:00,Titan IIIB | OPS 5000,StatusRetired,59.0 ,Success,1967-12-05,18:45:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3710,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-12-03 12:00:00+00:00,Voskhod | Cosmos 194,StatusRetired,450.0 ,Success,1967-12-03,12:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3711,AMBA,"LA-5B, RAAF Woomera Range Complex, Australia",1967-11-29 00:00:00+00:00,Redstone Sparta | WRESAT,StatusRetired,450.0 ,Success,1967-11-29,00:00:00,Australia,"RAAF Woomera Range Complex, Australia",136.8250657,-31.1988337
3712,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-11-25 11:30:00+00:00,Voskhod | Cosmos 193,StatusRetired,450.0 ,Success,1967-11-25,11:30:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3713,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1967-11-23 15:00:00+00:00,Cosmos-3M (11K65M) | Cosmos 192,StatusRetired,450.0 ,Success,1967-11-23,15:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3714,RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",1967-11-22 19:07:00+00:00,Proton K/Block D | Zond,StatusRetired,450.0 ,Failure,1967-11-22,19:07:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3715,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1967-11-21 14:29:00+00:00,Cosmos-2I (63SM) | Cosmos 191,StatusRetired,450.0 ,Success,1967-11-21,14:29:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3716,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1967-11-09 12:00:00+00:00,Saturn V | Apollo 4,StatusRetired,"1,160.0 ",Success,1967-11-09,12:00:00,USA,"Kennedy Space Center, Florida, USA",-80.64898079999999,28.5728722
